market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,00625K,富邦上証+R,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-00625K/risk_plan.html
tw,00633L,富邦上証正2,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-00633L/risk_plan.html
tw,00637L,元大滬深300正2,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-00637L/risk_plan.html
tw,00850,元大臺灣ESG永續,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-00850/risk_plan.html
tw,00904,新光臺灣半導體30,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-00904/risk_plan.html
tw,00905,FT臺灣Smart,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-00905/risk_plan.html
tw,00913,兆豐台灣晶圓製造,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-00913/risk_plan.html
tw,009804,聯邦台精彩50,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-009804/risk_plan.html
tw,009816,凱基台灣TOP50,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-009816/risk_plan.html
tw,1413,宏洲,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1413/risk_plan.html
tw,1445,大宇,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1445/risk_plan.html
tw,1452,宏益,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1452/risk_plan.html
tw,1453,大將,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1453/risk_plan.html
tw,1503,士電,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1503/risk_plan.html
tw,1513,中興電,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1513/risk_plan.html
tw,1538,正峰,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1538/risk_plan.html
tw,1560,中砂,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1560/risk_plan.html
tw,1702,南僑,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1702/risk_plan.html
tw,1810,和成,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1810/risk_plan.html
tw,1909,榮成,buy_now,,,,,0.0075,,,,,,,,,reports/public-equity-batch/2026-07-02-1250-tw-intraday-kline/companies/tw-1909/risk_plan.html
