market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,2375,凱美,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2375/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2375/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2375/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2375/risk_plan.html
tw,2427,三商電,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2427/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2427/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2427/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2427/risk_plan.html
tw,2428,興勤,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2428/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2428/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2428/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2428/risk_plan.html
tw,2460,建通,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2460/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2460/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2460/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2460/risk_plan.html
tw,2478,大毅,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2478/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2478/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2478/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2478/risk_plan.html
tw,2642,宅配通,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2642/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2642/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2642/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2642/risk_plan.html
tw,2712,遠雄來,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2712/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2712/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2712/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-2712/risk_plan.html
tw,3016,嘉晶,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3016/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3016/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3016/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3016/risk_plan.html
tw,3024,憶聲,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3024/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3024/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3024/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3024/risk_plan.html
tw,3257,虹冠電,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3257/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3257/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3257/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-3257/risk_plan.html
tw,4572,駐龍,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-4572/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-4572/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-4572/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-4572/risk_plan.html
tw,6196,帆宣,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6196/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6196/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6196/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6196/risk_plan.html
tw,6209,今國光,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6209/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6209/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6209/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6209/risk_plan.html
tw,6281,全國電,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6281/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6281/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6281/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6281/risk_plan.html
tw,6438,迅得,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6438/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6438/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6438/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6438/risk_plan.html
tw,6581,鋼聯,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6581/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6581/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6581/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6581/risk_plan.html
tw,6958,日盛台駿,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6958/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6958/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6958/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-6958/risk_plan.html
tw,8103,瀚荃,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-8103/summary.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-8103/tearsheet.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-8103/initiation.html,reports/public-equity-batch/2026-07-08-1250-tw-intraday-kline/companies/tw-8103/risk_plan.html
