symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
RXT,Rackspace Technology,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-RXT.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-RXT.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-RXT.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
SEDG,SolarEdge Technologies,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-SEDG.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-SEDG.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-SEDG.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
SHAZ,SharonAI Holdings,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-SHAZ.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-SHAZ.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-SHAZ.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
SHLS,Shoals Technologies Group,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-SHLS.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-SHLS.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-SHLS.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
SMTC,Semtech Corporation - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-SMTC.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-SMTC.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-SMTC.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
SOUN,SoundHound AI,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-SOUN.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-SOUN.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-SOUN.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
STEP,StepStone Group Inc. - Class A Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-STEP.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-STEP.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-STEP.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
STWD,STARWOOD PROPERTY TRUST,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-STWD.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-STWD.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-STWD.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
TEAM,Atlassian Corporation - Class A Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-TEAM.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-TEAM.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-TEAM.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
TECK,Teck Resources Ltd Ordinary Shares,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-TECK.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-TECK.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-TECK.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-TSM.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-TSM.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-TSM.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
TXN,Texas Instruments Incorporated - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-TXN.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-TXN.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-TXN.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
UMC,United Microelectronics Corporation  Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-UMC.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-UMC.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-UMC.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
VRT,Vertiv Holdings,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-VRT.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-VRT.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-VRT.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
VSAT,ViaSat,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-VSAT.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-VSAT.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-VSAT.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
WMT,Walmart Inc. - Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-WMT.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-WMT.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-WMT.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
WYFI,WhiteFiber,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-WYFI.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-WYFI.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-WYFI.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
