market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
tw,台股,2303,聯電,晶圓代工,buy_now,現在可以買名單,0,common_equity,tw-2303,1,KOL/news 現在可以買名單
tw,台股,2330,台積電,晶圓代工,buy_now,現在可以買名單,0,common_equity,tw-2330,1,KOL/news 現在可以買名單
tw,台股,2379,瑞昱,IC 設計,buy_now,現在可以買名單,0,common_equity,tw-2379,1,KOL/news 現在可以買名單
tw,台股,2454,聯發科,IC 設計,buy_now,現在可以買名單,0,common_equity,tw-2454,1,KOL/news 現在可以買名單
tw,台股,2464,盟立,機器人零組件,buy_now,現在可以買名單,0,common_equity,tw-2464,1,KOL/news 現在可以買名單
tw,台股,2890,永豐金,金融業,buy_now,現在可以買名單,0,common_equity,tw-2890,1,KOL/news 現在可以買名單
tw,台股,3008,大立光,光學/CPO,buy_now,現在可以買名單,0,common_equity,tw-3008,1,KOL/news 現在可以買名單
tw,台股,3019,亞光,光學/機器人,buy_now,現在可以買名單,0,common_equity,tw-3019,1,KOL/news 現在可以買名單
tw,台股,3532,台勝科,矽晶圓,buy_now,現在可以買名單,0,common_equity,tw-3532,1,KOL/news 現在可以買名單
tw,台股,5347,世界先進,晶圓代工,buy_now,現在可以買名單,0,common_equity,tw-5347,1,KOL/news 現在可以買名單
tw,台股,6488,環球晶,矽晶圓,buy_now,現在可以買名單,0,common_equity,tw-6488,1,KOL/news 現在可以買名單
us,美股,IBM,IBM,資訊科技 / 量子計算,buy_now,現在可以買名單,0,common_equity,us-IBM,1,KOL/news 現在可以買名單
us,美股,INTC,Intel,半導體,buy_now,現在可以買名單,0,common_equity,us-INTC,1,KOL/news 現在可以買名單
us,美股,SNDK,SanDisk,記憶體,buy_now,現在可以買名單,0,common_equity,us-SNDK,1,KOL/news 現在可以買名單
us,美股,UMC,United Microelectronics ADR,晶圓代工,buy_now,現在可以買名單,0,common_equity,us-UMC,1,KOL/news 現在可以買名單
tw,台股,1802,台玻,玻璃基板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-1802,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2302,麗正,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2302,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2313,華通,PCB,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2313,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2342,茂矽,半導體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2342,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2344,華邦電,記憶體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2344,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2351,順德,導線架 / 分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2351,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2375,凱美,被動元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2375,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2408,南亞科,記憶體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2408,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2449,京元電,封測,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2449,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2481,強茂,分離式元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2481,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2492,華新科,被動元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2492,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3016,嘉晶,矽晶圓,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3016,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3026,禾伸堂,被動元件,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3026,1,KOL/news 現在不能買，但值得等買點名單
