market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,1341,富林-KY,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1341/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1341/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1341/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1341/risk_plan.html
tw,1512,瑞利,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1512/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1512/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1512/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1512/risk_plan.html
tw,1538,正峰,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1538/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1538/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1538/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1538/risk_plan.html
tw,1618,合機,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1618/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1618/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1618/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1618/risk_plan.html
tw,1725,元禎,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1725/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1725/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1725/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-1725/risk_plan.html
tw,2027,大成鋼,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2027/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2027/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2027/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2027/risk_plan.html
tw,2233,宇隆,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2233/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2233/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2233/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2233/risk_plan.html
tw,2321,東訊,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2321/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2321/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2321/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2321/risk_plan.html
tw,2349,錸德,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2349/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2349/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2349/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2349/risk_plan.html
tw,2353,宏碁,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2353/summary.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2353/tearsheet.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2353/initiation.html,reports/public-equity-batch/2026-07-03-1250-tw-intraday-kline/companies/tw-2353/risk_plan.html
