market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,1512,瑞利,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1512/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1512/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1512/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1512/risk_plan.html
tw,1521,大億,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1521/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1521/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1521/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1521/risk_plan.html
tw,1527,鑽全,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1527/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1527/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1527/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1527/risk_plan.html
tw,1540,喬福,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1540/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1540/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1540/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1540/risk_plan.html
tw,1721,三晃,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1721/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1721/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1721/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1721/risk_plan.html
tw,1733,五鼎,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1733/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1733/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1733/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-1733/risk_plan.html
tw,2106,建大,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2106/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2106/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2106/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2106/risk_plan.html
tw,2312,金寶,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2312/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2312/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2312/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2312/risk_plan.html
tw,2383,台光電,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2383/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2383/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2383/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2383/risk_plan.html
tw,2449,京元電子,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2449/summary.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2449/tearsheet.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2449/initiation.html,reports/public-equity-batch/2026-07-01-1250-tw-intraday-kline/companies/tw-2449/risk_plan.html
