market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,6281,全國電,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6281/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6281/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6281/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6281/risk_plan.html
tw,6415,矽力*-KY,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6415/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6415/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6415/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6415/risk_plan.html
tw,6541,泰福-KY,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6541/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6541/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6541/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6541/risk_plan.html
tw,6887,寶綠特-KY,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6887/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6887/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6887/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6887/risk_plan.html
tw,6958,日盛台駿,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6958/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6958/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6958/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-6958/risk_plan.html
tw,7780,大研生醫*,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-7780/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-7780/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-7780/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-7780/risk_plan.html
tw,8367,建新國際,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8367/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8367/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8367/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8367/risk_plan.html
tw,8429,金麗-KY,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8429/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8429/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8429/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8429/risk_plan.html
tw,8462,柏文,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8462/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8462/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8462/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8462/risk_plan.html
tw,8478,東哥遊艇,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8478/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8478/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8478/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8478/risk_plan.html
tw,8482,商億-KY,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8482/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8482/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8482/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-8482/risk_plan.html
tw,9110,越南控-DR,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9110/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9110/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9110/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9110/risk_plan.html
tw,9911,櫻花,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9911/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9911/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9911/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9911/risk_plan.html
tw,9931,欣高,buy_now,,,,,,,,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9931/summary.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9931/tearsheet.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9931/initiation.html,reports/public-equity-batch/2026-06-29-1250-tw-intraday-kline/companies/tw-9931/risk_plan.html
