market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
us,NYSE,CDE,Coeur Mining,Basic Materials / Precious Metals,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-CDE,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,CNH,CNH Industrial N.V. Common Shares,Industrials / Construction/Ag Equipment/Trucks,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-CNH,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,CRML,Critical Metals Corp. - Ordinary Shares,Basic Materials / Metal Mining,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-CRML,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,DNOW,DNOW Inc. Common Stock,Consumer Discretionary / Oil and Gas Field Machinery,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-DNOW,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,DOC,Healthpeak Properties,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-DOC,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,ED,Consolidated Edison,Utilities / Power Generation,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-ED,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,ENB,Enbridge Inc Common Stock,Energy / Natural Gas Distribution,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-ENB,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,EVRG,Evergy,Utilities / Power Generation,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-EVRG,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,HBM,Hudbay Minerals Inc. Ordinary Shares,Basic Materials / Metal Mining,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-HBM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,HR,Healthcare Realty Trust Incorporated Common Stock,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-HR,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,HUT,Hut 8 Corp. - Common Stock,Finance / Finance: Consumer Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-HUT,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,IAG,Iamgold Corporation Ordinary Shares,Basic Materials / Precious Metals,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-IAG,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,INCY,Incyte Corporation - Common Stock,Health Care / Biotechnology: Commercial Physical & Biological Resarch,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-INCY,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,INFQ,Infleqtion,Technology / EDP Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-INFQ,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,INSM,Insmed Incorporated - Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-INSM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,IVZ,Invesco Ltd Common Stock,Finance / Investment Managers,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-IVZ,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,JBS,JBS N.V. Class A Common Shares,Consumer Staples / Meat/Poultry/Fish,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-JBS,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,JNJ,Johnson & Johnson Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-JNJ,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,KIM,Kimco Realty Corporation  Common Stock,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-KIM,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,LITE,Lumentum Holdings Inc. - Common Stock,Telecommunications / Telecommunications Equipment,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-LITE,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,MARA,MARA Holdings,Technology / EDP Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-MARA,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,MO,Altria Group,Health Care / Medicinal Chemicals and Botanical Products,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-MO,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,MRK,Merck & Company,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-MRK,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,NUE,Nucor Corporation Common Stock,Industrials / Steel/Iron Ore,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-NUE,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,O,Realty Income Corporation Common Stock,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-O,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,P,Everpure,Technology / Electronic Components,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-P,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,PBA,Pembina Pipeline Corp. Ordinary Shares,Energy / Oil & Gas Production,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-PBA,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,PCG,Pacific Gas & Electric Co. Common Stock,Utilities / Power Generation,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-PCG,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,PFE,Pfizer,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-PFE,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,Q,Qnity Electronics,Technology / Semiconductors,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-Q,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,SMMT,Summit Therapeutics Inc. - Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-SMMT,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,SRE,DBA Sempra Common Stock,Utilities / Natural Gas Distribution,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-SRE,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,SWKS,Skyworks Solutions,Technology / Semiconductors,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-SWKS,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,TPG,TPG Inc. - Class A Common Stock,Finance / Investment Managers,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-TPG,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,TRP,TC Energy Corporation Common Stock,Utilities / Natural Gas Distribution,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-TRP,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,Technology / Semiconductors,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-TSEM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,UPS,United Parcel Service,Industrials / Trucking Freight/Courier Services,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-UPS,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,VLO,Valero Energy Corporation Common Stock,Energy / Integrated oil Companies,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-VLO,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-VRTX,1,美股 K-line 現在不能買，但值得等買點名單
us,NASDAQ,XP,XP Inc. - Class A Common Stock,Finance / Investment Bankers/Brokers/Service,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-XP,1,美股 K-line 現在不能買，但值得等買點名單
